review_id,product_name,category,review_text,rating,review_date,helpful_votes
1,삼성 갤럭시 S24,스마트폰,화면이 정말 선명하고 배터리도 오래가요. AI 기능이 특히 마음에 듭니다. 카메라 성능도 뛰어나서 사진 찍기 좋아요.,5,2024-01-15,45
2,삼성 갤럭시 S24,스마트폰,가격 대비 성능이 좋습니다. 다만 발열이 조금 있어요. 게임할 때 뜨거워집니다.,4,2024-01-16,23
3,삼성 갤럭시 S24,스마트폰,디자인은 예쁜데 무게가 좀 무거워요. 한 손으로 사용하기 불편합니다.,3,2024-01-17,12
4,애플 아이폰 15,스마트폰,iOS 생태계가 편리해요. 다른 애플 기기와 연동이 잘 됩니다. 가격이 비싸지만 만족해요.,5,2024-01-18,67
5,애플 아이폰 15,스마트폰,배터리 수명이 짧아서 실망이에요. 하루도 못 버텨요. 충전기도 별도 구매해야 해서 불편합니다.,2,2024-01-19,89
6,LG 그램 17,노트북,가볍고 휴대성이 좋아요. 출장 다닐 때 편리합니다. 화면도 크고 선명해요.,5,2024-01-20,34
7,LG 그램 17,노트북,발열 관리가 아쉬워요. 오래 사용하면 뜨거워집니다. 팬 소음도 좀 있어요.,3,2024-01-21,28
8,LG 그램 17,노트북,가격이 너무 비싸요. 성능 대비 가성비가 떨어집니다. 차라리 맥북 살걸.,2,2024-01-22,56
9,소니 WH-1000XM5,이어폰/헤드폰,노이즈캔슬링 최고입니다! 지하철에서도 음악에 집중할 수 있어요. 음질도 훌륭해요.,5,2024-01-23,78
10,소니 WH-1000XM5,이어폰/헤드폰,무선 연결이 가끔 끊겨요. 블루투스 불안정합니다. AS 받아야 할 것 같아요.,2,2024-01-24,45
11,에어팟 프로 2,이어폰/헤드폰,애플 기기와 연동 완벽해요. 통화 품질도 좋고 착용감도 편해요.,4,2024-01-25,56
12,에어팟 프로 2,이어폰/헤드폰,가격 대비 음질이 그저 그래요. 비싼 값을 못 하는 것 같습니다.,3,2024-01-26,34
13,다이슨 V15,청소기,흡입력이 정말 강력해요! 먼지 하나 안 남기고 다 빨아들입니다. 무선이라 편해요.,5,2024-01-27,89
14,다이슨 V15,청소기,배터리 지속시간이 너무 짧아요. 청소 중간에 충전해야 합니다. 실망이에요.,2,2024-01-28,67
15,다이슨 V15,청소기,무게가 무거워서 한 손으로 들고 청소하기 힘들어요. 팔이 아파요.,3,2024-01-29,45
16,삼성 비스포크 냉장고,가전,디자인이 예쁘고 수납공간이 넉넉해요. 에너지 효율도 좋습니다.,5,2024-01-30,34
17,삼성 비스포크 냉장고,가전,얼음 기능이 자주 고장나요. AS 받았는데 또 문제 생겼습니다. 품질 관리 필요해요.,1,2024-01-31,112
18,삼성 비스포크 냉장고,가전,가격이 비싸지만 만족합니다. 인테리어에도 잘 어울려요.,4,2024-02-01,23
19,LG 올레드 TV,TV,화질이 정말 뛰어나요! 영화 볼 때 몰입감이 다릅니다. 색감 표현이 완벽해요.,5,2024-02-02,78
20,LG 올레드 TV,TV,번인 현상이 걱정돼요. 같은 화면 오래 틀면 자국 남을까봐 불안합니다.,3,2024-02-03,56
21,샤오미 로봇청소기,청소기,가성비 최고! 이 가격에 이 성능이라니 놀랍습니다. 앱 연동도 잘 돼요.,5,2024-02-04,67
22,샤오미 로봇청소기,청소기,매핑 기능이 가끔 오류나요. 같은 곳을 반복해서 청소합니다.,3,2024-02-05,34
23,삼성 갤럭시 버즈3,이어폰/헤드폰,통화 품질 좋고 착용감 편해요. 운동할 때 안 빠져서 좋습니다.,4,2024-02-06,45
