제목,출처,링크,요약,날짜,수집일시
금 | 1968-2026 데이터 | 2027-2028 예상,ko.tradingeconomics.com,https://ko.tradingeconomics.com/commodity/gold,,2026,2026-01-06 02:54:31
"Gold Price Forecast & Predictions for 2026, 2027, 2028–2030, 2040 and Beyond | LiteFinance",litefinance.org,https://www.litefinance.org/blog/analysts-opinions/gold-price-prediction-forecast/,,2026,2026-01-06 02:54:31
이렇게 올라도 되나…'46년 만의 폭등' 금·은 어디까지? [2026 해외증시 전망]② - 머니투데이,mt.co.kr,https://www.mt.co.kr/world/2025/12/30/2025122916262027607,,2026,2026-01-06 02:54:31
"""금 살까 은 살까""…잘 나가는 금·은, 내년에도 오를까 - ZDNet korea",zdnet.co.kr,https://zdnet.co.kr/view/?no=20251216091756,,2026,2026-01-06 02:54:31
한국금거래소,koreagoldx.co.kr,https://koreagoldx.co.kr/,,2026,2026-01-06 02:54:31
"""금값 미쳤다, 얼마까지 오르나""…분석가들 전망은 - ZDNet korea",zdnet.co.kr,https://zdnet.co.kr/view/?no=20251017101039,,2026,2026-01-06 02:54:31
"순금 1돈 100만원 시대 '눈앞'… ""2026년 더 오른다""",다음,https://v.daum.net/v/20241224193805083,,2026,2026-01-06 02:54:31
오늘 금시세(금값) 1돈 가격 '살 때'와 '팔 때'는?…2026년 글로벌 이슈 종합적으로 주시해야 - CBC뉴스,cbci.co.kr,https://www.cbci.co.kr/news/articleView.html?idxno=548050,,2026,2026-01-06 02:54:31
금시세/골드가격 조회(일자별) - 오늘의 금값 | KB국민은행,obank.kbstar.com,https://obank.kbstar.com/quics?page=C023489,,2026,2026-01-06 02:54:31
"""금값 더 간다""…美 투자은행, 내년 5000달러 전망 내놔 - 뉴시스",newsis.com,https://www.newsis.com/view/NISX20251014_0003362484,,2026,2026-01-06 02:54:31
